"time","predator"
0,9
0.1,9.27
0.2,9.5451336
0.3,9.82519863255134
0.4,10.1099673890357
0.5,10.3991863098679
0.6,10.6925758585903
0.7,10.9898305951526
0.8,11.2906194619537
0.9,11.5945862940879
1,11.901350562686
1.1,12.2105083573026
1.2,12.5216336100108
1.3,12.8342795602775
1.4,13.1479804558688
1.5,13.4622534810623
1.6,13.7766008994039
1.7,14.0905123942464
1.8,14.4034675864455
1.9,14.7149387049739
2,15.0243933829557
2.1,15.331297548807
2.2,15.6351183799027
2.3,15.9353272845277
2.4,16.2314028768899
2.5,16.5228339096993
2.6,16.8091221292677
2.7,17.089785019266
2.8,17.3643584011361
2.9,17.6323988616687
3,17.8934859813374
3.1,18.1472243405418
3.2,18.3932452848667
3.3,18.6312084346811
3.4,18.860802928791
3.5,19.0817483962828
3.6,19.2937956550637
3.7,19.4967271397908
3.8,19.6903570658203
3.9,19.8745313393873
4,20.0491272274176
4.1,20.2140528030926
4.2,20.3692461855384
4.3,20.5146745937453
4.4,20.6503332360733
4.5,20.7762440574515
4.6,20.8924543666837
4.7,20.9990353661442
4.8,21.0960806056523
4.9,21.1837043814784
5,21.2620401003316
5.1,21.3312386268445
5.2,21.3914666315714
5.3,21.4429049548933
5.4,21.4857470005274
5.5,21.5201971706132
5.6,21.5464693526277
5.7,21.5647854667041
5.8,21.5753740803143
5.9,21.5784690957513
6,21.5743085144297
6.1,21.5631332807164
6.2,21.5451862068272
6.3,21.5207109792713
6.4,21.4899512464053
6.5,21.4531497858558
6.6,21.410547749897
6.7,21.3623839863049
6.8,21.3088944317551
6.9,21.2503115744737
7,21.1868639825835
7.1,21.1187758944013
7.2,21.0462668668229
7.3,20.9695514778817
7.4,20.8888390795617
7.5,20.8043335969923
7.6,20.7162333702321
7.7,20.6247310349618
7.8,20.5300134385424
7.9,20.4322615880496
8,20.3316506270643
8.1,20.2283498381788
8.2,20.1225226683593
8.3,20.0143267744941
8.4,19.903914086643
8.5,19.7914308866849
8.6,19.6770179002425
8.7,19.5608103999355
8.8,19.4429383181811
8.9,19.3235263679184
9,19.2026941697872
9.1,19.0805563844317
9.2,18.9572228487335
9.3,18.8327987149049
9.4,18.7073845914876
9.5,18.5810766854112
9.6,18.4539669443623
9.7,18.3261431988108
9.8,18.1976893031181
9.9,18.0686852752326
10,17.9392074345443
10.1,17.8093285375351
10.2,17.6791179109168
10.3,17.5486415820006
10.4,17.4179624060885
10.5,17.2871401907165
10.6,17.1562318166175
10.7,17.0252913553038
10.8,16.8943701831984
10.9,16.7635170922688
11,16.6327783971399
11.1,16.502198038682
11.2,16.3718176840868
11.3,16.2416768234581
11.4,16.1118128629581
11.5,15.9822612145584
11.6,15.8530553824563
11.7,15.724227046222
11.8,15.5958061407509
11.9,15.4678209330971
12,15.3402980962714
12.1,15.2132627800873
12.2,15.0867386791419
12.3,14.9607480980203
12.4,14.8353120138118
12.5,14.7104501360269
12.6,14.5861809640047
12.7,14.4625218418987
12.8,14.3394890113279
12.9,14.2170976617798
13,14.0953619788493
13.1,13.9742951903972
13.2,13.8539096107084
13.3,13.7342166827294
13.4,13.6152270184617
13.5,13.4969504375857
13.6,13.3793960043885
13.7,13.2625720630644
13.8,13.1464862714571
13.9,13.0311456333092
14,12.9165565290815
14.1,12.8027247454044
14.2,12.6896555032191
14.3,12.5773534846659
14.4,12.4658228587745
14.5,12.3550673060069
14.6,12.2450900417051
14.7,12.1358938384912
14.8,12.0274810476655
14.9,11.9198536196472
15,11.813013123502
15.1,11.7069607655936
15.2,11.6016974074022
15.3,11.4972235825442
15.4,11.3935395130306
15.5,11.2906451247972
15.6,11.1885400625399
15.7,11.0872237038865
15.8,10.9866951729334
15.9,10.8869533531776
16,10.78799689987
16.1,10.6898242518165
16.2,10.5924336426511
16.3,10.4958231116065
16.4,10.3999905138016
16.5,10.3049335300715
16.6,10.210649676357
16.7,10.1171363126762
16.8,10.0243906516948
16.9,9.93240976691437
17,9.84119060049538
17.1,9.75072997073108
17.2,9.66102457918811
17.3,9.57207101752859
17.4,9.48386577402797
17.5,9.3964052398021
17.6,9.3096857147565
17.7,9.2237034132702
17.8,9.13845446962581
17.9,9.05393494319726
18,8.97014082340565
18.1,8.88706803445371
18.2,8.80471243984849
18.3,8.72306984672164
18.4,8.64213600995614
18.5,8.56190663612804
18.6,8.48237738727125
18.7,8.40354388447317
18.8,8.32540171130851
18.9,8.24794641711835
19,8.17117352014124
19.1,8.09507851050263
19.2,8.01965685306899
19.3,7.94490399017224
19.4,7.87081534421026
19.5,7.79738632012878
19.6,7.7246123077898
19.7,7.65248868423125
19.8,7.58101081582287
19.9,7.51017406032246
20,7.43997376883693
20.1,7.3704052876922
20.2,7.30146396021578
20.3,7.23314512843583
20.4,7.16544413470023
20.5,7.09835632321899
20.6,7.03187704153338
20.7,6.96600164191478
20.8,6.90072548269627
20.9,6.83604392953983
21,6.77195235664179
21.1,6.70844614787922
21.2,6.64552069789971
21.3,6.58317141315688
21.4,6.52139371289402
21.5,6.46018303007794
21.6,6.39953481228507
21.7,6.33944452254202
21.8,6.27990764012231
21.9,6.22091966130112
22,6.16247610006999
22.1,6.10457248881296
22.2,6.04720437894577
22.3,5.99036734151987
22.4,5.93405696779245
22.5,5.87826886976403
22.6,5.82299868068503
22.7,5.76824205553248
22.8,5.7139946714582
22.9,5.66025222820967
23,5.60701044852458
23.1,5.5542650785004
23.2,5.50201188793982
23.3,5.45024667067308
23.4,5.39896524485833
23.5,5.34816345326074
23.6,5.29783716351136
23.7,5.24798226834653
